date	review	rating	title	userName
2022-04-20 20:23:32	"This podcast has came at a good time for me and is helping me appreciate and love my miraculous body and other women’s so much more! So interesting, I’ve not long got my coil out and the episode about contraception really has rung true for me about when it comes out and having the full cycle of hormones fully again. 
I feel very grateful for this podcast and all of the new appreciation I have for my body and the cycle :) thank you India :)
I have recommended it to a few people too :)"	5	Amazing podcast!	jwotsit
2022-05-03 07:07:29	Full of fantastic information. I find the narrator’s childish voice difficult to listen to, but if you can get past that it’s fascinating	4	Very informative	Benarchie
2022-04-20 18:36:12	I’m a doctor and I have learnt so much from this. I love the personal stories, the artistic nature of the production and India is such a fab and encouraging host. It really reflect the magical, incredible and downright normal function of our fantastic bodies! I’ve listened non-stop.	5	Obsessed	wallllsss
2022-04-20 09:39:28	I have just binge-listened to this podcast over 5 days because every episode was so interesting I couldn’t stop listening! Mind-blowing that so much of this information has not easily been available to women previously. Thank you India for putting this together, I plan on sharing it with all my friends and will be discussing my cycle with my boyfriend too!	5	Utterly fascinating! Every woman should listen to this!	Chelsiedyogi
2022-04-11 13:47:56	I have shared it with everyone I know.	5	Absolutely fascinating!	Elsbej
2022-04-07 15:42:10	I keep on sharing different episodes with friends! Perfectly manageable length as well.	5	So thought provoking!	Stephredhead
2022-04-05 19:53:27	I happened upon this podcast and I haven’t been this hooked on a series in a long time. It is beautifully made and meticulously researched. I have recommended to everyone in my life, those with periods and without!	5	A revelation!	ojct1994
2022-04-05 06:53:32	This podcast has taught me so much, I had no idea what our bodies go through each month. Everyone should listen!	5	Didn’t want it to end.	KT765
2022-04-04 07:32:37	"Amazing sound design & easily digestible information on a topic that is so vital to those in female bodies and yet still sidelined.

Thank you for bringing this topic to the forefront & helping me fall in love with the fluidity of my cycle. 

Hannah"	5	Couldn’t recommend more	hkpx
2022-04-01 08:48:36	"I happened upon this pod cast, coincidentally on the day following my ‘little girls’ very first period. She was 10 last month :-(  Because of her young age, I grappled with all sorts of emotions as a mother, mainly sympathy and commiseration.
This pod cast has helped me to understand and promote the positive values of our menstruation, all of which I will be drip feeding my daughter over time. 
Thanks"	5	A Coincidental Find	Kazza123456
2022-03-29 16:24:53	This podcast is so informative and everything I wished I’d been taught about my body and menstrual cycle at school. Essential listening and so easy to digest.	5	This should be on school curriculums!	"raver .*"" =D"
2022-03-26 07:35:14	I’ve been learning so much from 28 Days Ish Later, and I thought I was already pretty clued up. The sound design is 👩🏻‍🍳👌🏼 but PLEASE next time, if you’re going to upload in one go, do it the other way around so they play through one after the other. Having to jump back into the app to select the next episode before it starts playing the one you’ve already listened to really disrupts the immersive feel of this podcast!	5	Love - but upload the other way around	tashaok
