comment,replies,date,user_name
"I loathe modern feminism, mostly because it promotes degeneracy and ridicules motherhood, that said, I also dislike the term “bossy.” It’s condescending and only ever used to describe women and girls. I’m in the military and worked for women in positions incredible authority. Many were very demanding leaders. It never bothered me. I don’t need my superiors, men or women, to be my friend. I need clear objectives, adequate resources, and professional courtesy. Courtesy, not friendship, not kindness, not concern, just courtesy. Women who are in positions of authority, have high expectations, and hold their subordinates to that standard, aren’t “bossy.” They’re in charge, and we should submit to their authority or seek other employment.",[],2023-09-08T13:44:40Z,@flyoptimum
"How about, and hear me out here, you stop buying “the message,” and start buying quality products you enjoy at a competitive price. If you keep purchasing messaging, messaging is all your producers are going to provide.",[],2023-09-08T13:35:13Z,@flyoptimum
Cramer should be in prison.,[],2023-08-31T18:12:20Z,@dystopian..
We Work aged like milk in the sun,[],2023-08-31T18:00:28Z,@dystopian..
"THANK YOU 👏👏👏 We’ll said! For over a decade I’ve been feeling the pressure to be a “girl boss” and now that I have kids coming back to the work force it’s like I have this is weird expectation from people and myself that I need to be motherly (eg. clean house, raising kids) but also excel in career have rise up the ladder every couple years. I’ve been working through depression and I’ve realized the expectation to be this super working mom has taken a toll.. thank you for creating this video. It gives me relief that I can let go of this toxic mentality. Much love ❤️",[],2023-08-30T19:18:55Z,@Fauxrising2022
"I feel like this movement was created for bored, white, stay at home moms who wanted to make some extra money and flew too close to the sun. Exhibiting exploitive and exclusive feminism in bite-sized chewable pieces is the most anti-feminist thing I’ve ever seen. These are women thinking like men. Profiting off of other women who actually think they’re making waves in history by trying to find independence in pyramid schemes and Amazon books.",[],2023-08-18T06:11:30Z,@Losnina13
Gaslight Gatekeep Girlboss,[],2023-08-13T02:06:09Z,@tonysuthechineseguy
Capitalism is the problem!,[],2023-08-11T20:49:54Z,@JR-lw3ms
Thanks!,[],2023-08-10T23:49:09Z,@baloobird
If Sheryl Sandberg was in a fastest talking contest she would probably win,['Sheryl Sandberg talks to fast'],2023-08-10T02:18:08Z,@jamesnelson4611
"The reason the culture is so desperate for female leaders who are not toxic af, is that deep down everyone knows that hardly any women anywhere are capable of subordinating their socio-emotional goals to the needs of an organization.
This is also why most women and men prefer male bosses, when asked in private.",[],2023-07-27T15:50:38Z,@microcolonel
"It's disgusting, it's just the same as women being repulsed by shy, unconfident weak men. Why can't women just fall into their natural instincts, women being women is so damn attractive rather than this girl boss wannabe man bullshit",[],2023-07-20T10:55:01Z,@sherandeputt3158
