2020-06-22 21:46:04,Love the podcast. One suggestion: flip the order of podcast to most recent. I hate scrolling 😩,5,Tolani,Small suggestion
2020-06-22 18:00:12,"As a white woman, I specifically appreciate the re-release of the series on race & gender in the context of the workplace. I hope that this helps reframe many of our professional and personal relationships with black women and women of color. Overall this podcast seems to be a great resource for strategies to navigate our changing and challenging professional development.",5,MauradingOrange,Powerful resource
2020-06-15 23:52:43,This podcast has taught me more about how to be a strong professional than anything else. Love everything about this podcast. Listen every week without missing a beat! Amy and Amy do a wonderful job of hosting!,5,Why I listen,Love it !
2020-06-14 04:17:46,"I really enjoyed the sisterhood episode.  Great insights, particularly around listening and knowing how to listen and respond without trying to make up some pretend common experience that may alienate the other person.",5,Tupstl,Sisterhood episode
2020-04-16 04:32:20,"I very much enjoy listening to this podcast every week. The topics are relevant, the hosts are relatable and provide diverse viewpoints, the guests featured have actual tips that I can start implementing not only in my career but life in general.",5,feyfaavae,Just about perfect
2020-04-07 10:44:15,"What an amazing and fun podcast. I love how real and vulnerable the hosts are. Their guests are the best of the best! As a woman leader in higher education, everything hear resonates.",5,Dr Ruth G,Just brilliant!!
2020-02-13 22:22:38,"I love this show to pieces. I’ve been looking for something like this for a while and can’t get enough. I‘ve even repeated several episodes multiple times and enjoy exploring the extra readings linked in show notes. Across the board, it provides widely applicable but succinct and relatable examples—I’ve been able to implement ideas and add tools to my day-to-day that make work as a woman so much better. Love it!",5,missingastarclancat,"Incredibly useful, tastefully curated tools for women at work"
2020-01-25 13:06:51,"My “pre-work” podcast before I begin my day.  The hosts are subject matter experts, and have a wonderful rapport with each other.  Guests are awesome too.  I look forward to every episode!",5,tiredhr,Informative and Empowering
2019-12-29 00:21:13,"I absolutely love this podcast!  The content is current, relevant, and the hosts are authentic and relatable. Keep doing what you do.",5,Lemagod,Love!
2019-12-17 05:33:18,"I love this podcast. Great choice of topics, love the chatting at the end where the hosts talk about the interviews they did. It’s all very real, and makes me long for more (as in quantity) real personal/professional discussions with other women.",5,TracieLeeB,Every episode hits home
2019-12-12 02:59:47,"Every episode hits home. So relatable! (Men would get a lot out of it, too.) And to think, I almost skipped over this series entirely because I thought it would be too girly & ‘feely’.",5,Kricket Smurf,Wish I had this series years ago!
2019-12-03 05:26:58,Every episode is relevant and helpful,5,podcast-dj,Awesome
2019-10-14 19:45:10,Love this who’s and was excited to hear it. Just came out today and it’s not working :/,5,Texan native,Episode 1 of season 4 won’t play :(
