review_id,rating,title,content,date,developer_response,user_name
5797376046,5,So Good,This was an excellent podcast for a three hour drive. Went so fast!! Loved it!,2020-04-11 12:01:38-07:00,,Ceec1313
5794223100,5,Good,Yes....but I could have done without the detailed penis description.,2020-04-10 21:08:19-07:00,,upagains
5646696220,4,Too many mid roll ads,Great podcast. Good listen. The only reason did not get 5 stars is there are too many ads in the middle for other podcasts and it interrupts the flow.,2020-03-11 09:47:46-07:00,,Zeddubs14
5357021637,5,Wonders,"Honestly, wonderY has nailed it. So far I have listened to plame, Enron, Arron Hernandez, and now balco. (Sorry about the spelling). You make my daily workouts at the gym so enjoyable because my focus is on the story, not the physical exhaustionof my workout.  PLEASE DONT STOP - I owe my physical wellness and health you!",2020-01-03 13:41:06-07:00,,robin mc-d
5338675141,5,Amazing!,I didn’t know much about this man or the story until I happened upon this podcast. Now I can’t get enough!  I learned so much that I didn’t know. What a fascinating and heartbreaking story for all involved. I mean come on!  A Prince!  At least one US President. So much more to uncover!  Please bring us more.,2019-12-30 05:26:47-07:00,,NKBur
5324324880,5,.,Great listen.,2019-12-26 18:52:48-07:00,,Jacq20
5263046478,3,Missing a lot,"There is so much more that was unsaid, it's unfortunate.",2019-12-12 02:35:41-07:00,,Jyaroshuk
5200681569,5,Unavoidable,"Great journalism work.
Great social and emotional considerations.
Great political message.",2019-11-26 12:23:47-07:00,,Jolie-Louve
5188104615,4,Good Introduction,A good introductory podcast to Jeffrey Epstein.,2019-11-23 11:57:55-07:00,,roodax
5161589852,5,Very interesting,Well researched podcast that shared a captivating story.,2019-11-17 15:56:43-07:00,,Desynk
5145030904,4,...Epstein didn’t kill himself!,Interesting podcast,2019-11-15 16:27:40-07:00,,muh’adib
5143073141,5,Mysterious Epstein,"Captivating, research excellence, amazing host....highly recommend",2019-11-15 08:33:10-07:00,,bnzrocky
5129001703,2,Bonus episode,"Oh, dear. Vanessa’s voice is so difficult to listen to. She certainly knows this subject, but I had to turn off this episode because the vocal fry over rode the content.",2019-11-12 12:44:35-07:00,,1 of 7
5128298757,5,Excellent podcast,5 stars.,2019-11-12 09:00:21-07:00,,Joelle1985
5124509838,3,Interesting content yet over sensationalized,"It’s a story that very much needs to be told and there is some good investigative work. Unfortunately, the podcast feels over sensationalized, complete with contrived cliffhangers, ill-timed ads, and a cheesy theme song. This feels a tad inappropriate given the subject matter is about a convicted child sex trafficker",2019-11-11 12:03:42-07:00,,shmoseberry
5079331072,5,Great podcast,Great narrator... Love the theme song. You guys did a terrific job telling such an important story.,2019-11-03 05:40:02-07:00,,"e.m-/:;()$&@""0987"
5074896484,5,"Astounding, outrageous and completely horrifying",The story of this monster is astounding and so much more complex than I knew. I cant believe this is happening in present day and I’m very happy that people are finally blowing the lid off this horrible underworld. Hopefully this is step one to eradication,2019-11-02 17:26:11-07:00,,Linds_D
5065963606,3,Enjoyable but annoying.,"There are a lot of ads and build-ups in the intro, that there really isn't much content in the middle. Also, the ads come in the middle of the episode and it kind of ruins the mood. I was enjoying this, but it definitely jumped in time a lot. It could've been written better. Each episode had a really intense conclusion, which always had me excited for the next episode -- only to be letdown. The writing for the intro and conclusion was better than the actual meat of the story!",2019-11-01 18:21:41-07:00,,fassys
5027038562,2,Great journalism destroyed by ads,Kudos to the women and men who stayed on this story for so many years to make sure this pedophile didn’t get away with his crimes forever. Too bad this podcast ruins the story with intensely irritating ads in the middle of it. I will not buy/use any of those products…,2019-10-26 16:23:58-07:00,,geoD369
4996496157,2,"Strong start, weak middle, no ending?","I was enjoying it but episode 4 and 5 have really dropped off for me in terms of quality and interest. It’s much less interesting content and it’s not very economically written. I think the plan was for it to feel like a cliffhanger but we got so little information. I feel like there was more intro and advertisements than content. 

Next episode is supposed to be the last one. I don’t think I’ll listen. Maybe I will, at 2x on the bus if I can’t find anything more interesting.",2019-10-22 02:51:03-07:00,,Rasputin's girth
4981924816,1,Ads make podcasts horrible,The monetization of podcasts have made it a horrible medium.,2019-10-19 21:08:19-07:00,,DrewM87
4963662679,5,Solid,"Pretty solid podcast, styllllll",2019-10-17 21:33:16-07:00,,ktothepan
4961988583,5,Very interesting,Always waiting for the next episode.,2019-10-17 12:42:18-07:00,,Pisces North Node
4957695090,4,Good podcast,Are more episodes coming? Good podcast,2019-10-16 17:39:22-07:00,,Reviews6533
4955368554,5,Great podcast,"Intriguing and well told but that theme song is terrible, I have to fast forward through it, it’s so cringey",2019-10-16 05:53:52-07:00,,dddddd987654321
4952900926,5,VELVET VOICE,"Easy listening to a complex, fascinating tale of twisted megalomania.",2019-10-15 16:35:43-07:00,,Cedararbutus
4951550707,3,Too Fast Paced,Interesting story but the content is gone through way too quickly.  Before you can absorb one terrible occurrence they have moved onto the next.,2019-10-15 08:56:31-07:00,,C L O
4948012072,5,Amazing,"Such a good podcast, cannot believe this guy got away with all of this.",2019-10-14 13:40:23-07:00,,Taco lover 2
4943032410,4,"Very good, but more actors needed","Very well researched and interesting. But this guy needs to get more people to do his re-enactments. He is often playing simultaneously multiple roles (including females), which is awkward.",2019-10-13 16:36:47-07:00,,Shallow Moose
4932270395,5,Addictive,Wow..the pod is outstanding!!,2019-10-12 09:47:54-07:00,,GrimCityGirl
4927321329,1,Ad placement fail,Please have ads at beginning so we can skip them. No one likes a story being interrupted.,2019-10-11 22:10:05-07:00,,RfranN
