timestamp,content,rating,user_name,title
2020-02-16 05:49:47,Every opportunity was taken to bring up Trump’s name.  Wrote this review and deleted from my Library.  Ridiculous,1,Red Redder,What is everything about Trump
2020-01-28 21:46:52,Podcast is hardly to critique Epstein and his lewd sexual acts. More so an indictment on wealth and men. Political bias run amok. Hackneyed opinions regarding law and wealth.,1,catladywplants,Hardly an Indictment on Epstein
2020-01-28 13:16:18,I’d like to know who is actually behind this podcast because the Clinton connection is mentioned in passing and pretty much glossed over. In contrast Trump is mentioned as often as possible. I don’t like Trump so the motivation in pointing this out isn’t partisan. This seems like misdirection bordering on propaganda.,1,pete dunzo,Huh?
2020-01-21 18:57:20,Lisa Bloom is also representing Harvey Weinstein,4,laughing in utah,Lisa Bloom hypocrisy
2020-01-16 15:44:22,"Whilst the story and facts are fascinating, they could have been presented in a much more crisp and effective manner in half as many episodes. The amount of repeated sound bites and interviews is quite frustrating.",3,lcmcbee,Enough Content for half as many episodes
2020-01-17 16:21:53,"There is some interesting information in this podcast but I found all of the repeated sound bites annoying. I guess they needed to fill up the time and didn’t have enough new information, so they just kept pasting in the same lines from the same people episode after episode. Also, is Alan Dershowitz a personal friend of someone involved in this project? Why else would we hear repeatedly from this guy who has made a career out of defending misogynists? So, we know Epstein was guilty and that Prince Andrew is very likely guilty of having enjoyed the services of Epstein’s underage sex slaves, but we are to believe that Dershowitz, who has been directly accused of enjoying Epstein’s services by Virginia Roberts Giuffre is innocent? All he did was attempt to broker sweetheart deals for Epstein when he was arrested for sex trafficking the first time. Seriously! The fact that you give Dershowitz so much air time in the podcast is offensive. And now he is on the Trump (also accused of raping an underage girl at an Epstein party) impeachment defense team. It was revolting to hear Lisa Bloom calling out other women for throwing  Epstein’s victims under the bus. Written any more memos to Harvey Weinstein lately Lisa? I had to stop listening.",1,UrluKat,Repetition
2020-01-16 21:53:20,"I was going to listen to this but read the reviews, thank you thank you thank you for not wasting my time by listening!!!",1,reviews helpful !!,Thank you
2019-12-24 16:02:12,"Hard to take it completely seriously when you have Lisa Bloom chastising everyone connected to Epstein, when she’s on Weinstein’s payroll.

I also didn’t totally appreciate how they dropped a huge bomb in the final minutes of the final episode and then basically said, “go buy the book!!”. 😒",3,cocobeann,Meh
2020-01-13 18:15:25,"Awful, 
The rumors & speculation you already heard. 
Audio is mostly that fake telephone effect you hear on radio ads when the actor is supposed to sound like an actual customer.",1,Gene02906,Phony
2020-01-11 02:04:46,Podcast was just okay.  Lots of repeated clips which is frustrating for the listener.  At times I thought maybe I was replaying a prior episode.  Ruined it in Episode 12 by including political opinion and Trump bashing.  Too bad.,1,Missing the sound.,Too bad
2020-01-08 15:11:16,"Interviews were interesting and, obviously, the subject matter is pertinent. However, the amount of repeated interview clips is maddening. Could have covered everything in 5 or 6 episodes.",2,Podcast Listener TC,Missed opportunity
2020-01-07 19:51:01,There were no definitive conclusions and so many repeated audio clips from random loosely connected people speculating on his life. Why and how on earth would his driver really know anything about his personal life if he claims he just treated him like trash? People like him and the other house workers sounded like they just repeated vague news headlines. The guy in Russia’s hidden tapes script was just so unbelievable too. He was fumbling on his clearly scripted words and it sounds like it was ripped from a cheesy spy movie. I’ve honestly learned more about this case from hundreds of random Reddit comments and articles.,1,DJharris:),No New Information
2019-12-18 17:46:09,I can’t take seriously an “investigative” podcast about sexual assault and harassment when you give someone like Lisa Bloom (who secretly helped Harvey Weinstein in covering up his wrongdoings- as reported in She Said) and Alan Dershowitz (who was immersed in Epstein’s world and named as a sexual assaulter). How can you give either of these people a voice?,3,Egrantsalvi,Lost all credibility
